"证券代码
Securities Code","证券名称
Securities Name","证券英文名称
Securities Name(Eng.)","交易所
Exchange","中证一级代码
CICS 1st Level Code","中证一级名称
CICS 1st Level Name","中证一级英文名称
CICS 1st Level Name(Eng.)","中证二级代码
CICS 2nd Level Code","中证二级名称
CICS 2nd Level Name","中证二级英文名称
CICS 2nd Level Name(Eng.)","中证三级代码
CICS 3rd Level Code","中证三级名称
CICS 3rd Level Name","中证三级英文名称
CICS 3rd Level Name(Eng.)","中证四级代码
CICS 4th Level Code","中证四级名称
CICS 4th Level Name","中证四级英文名称
CICS 4th Level Name(Eng.)","沪深300行业指数
CSI300 Sector Index","沪深300行业指数英文名称
CSI300 Sector Index Name (Eng.)"
000001,平安银行,"Ping An Bank Co., Ltd.",Shenzhen,06,金融地产,Financials,0601,银行,Banks,060101,商业银行,Commercial Banks,06010101,综合性银行,Diversified Banks,300金融,CSI 300 Financials
000002,万科Ａ,China Vanke Co Ltd,Shenzhen,06,金融地产,Financials,0605,房地产,Real Estate,060501,房地产开发与园区,Real Estate  Development and Zone,06050101,房地产开发,Real Estate  Development,300金融,CSI 300 Financials
000004,国农科技,Shenzhen CAU Technology Co Ltd,Shenzhen,07,信息技术,Information Technology,0701,计算机运用,Computer Application,070101,互联网服务,Internet Services,07010102,移动互联网信息服务,Mobile Internet Information Service,,
000005,世纪星源,Shenzhen Fountain Corporation,Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020107,环保设备、工程与服务,"Environmental Protection Equipment, Engineering and Service",02010703,环保服务,Environmental Protection Service,,
000006,深振业Ａ,Shenzhen Zhenye (Group) Co Ltd,Shenzhen,06,金融地产,Financials,0605,房地产,Real Estate,060501,房地产开发与园区,Real Estate  Development and Zone,06050101,房地产开发,Real Estate  Development,,
000007,全新好,"Shenzhen Quanxinhao Co.,Ltd",Shenzhen,06,金融地产,Financials,0605,房地产,Real Estate,060502,房地产管理与服务,Real Estate Management & Services,06050201,房地产管理与服务,Real Estate Management & Services,,
000008,神州高铁,"China High-Speed Railway Technology Co., Ltd.",Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020106,机械制造,Machinery,02010605,铁路设备,Railway Equipment,,
000009,中国宝安,"China Baoan Group Co.,Ltd.",Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020105,工业集团企业,Industrial Conglomerates,02010501,工业集团企业,Industrial Conglomerates,,
000010,*ST美丽,"SHENZHEN ECOBEAUTY CO., LTD.",Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020103,建筑与工程,Construction & Engineering,02010303,园林工程,Garden Engineering,,
000011,深物业A,Shenzhen Properties & Resources Development (Group) Co Ltd,Shenzhen,06,金融地产,Financials,0605,房地产,Real Estate,060501,房地产开发与园区,Real Estate  Development and Zone,06050101,房地产开发,Real Estate  Development,,
000012,南  玻Ａ,CSG Holding Co Ltd,Shenzhen,01,原材料,Materials,0101,原材料,Materials,010103,建筑材料,Construction Materials,01010302,玻璃,Glass,,
000014,沙河股份,Shahe Industrial Co Ltd,Shenzhen,06,金融地产,Financials,0605,房地产,Real Estate,060501,房地产开发与园区,Real Estate  Development and Zone,06050101,房地产开发,Real Estate  Development,,
000016,深康佳Ａ,Konka Group Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0302,耐用消费品与服装,Consumer Durables & Apparel,030201,家庭耐用消费品,Household Durables,03020101,消费电子产品,Consumer Electronics,,
000017,深中华A,Shenzhen China Bicycles Co (Holdings) Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0302,耐用消费品与服装,Consumer Durables & Apparel,030202,休闲设备与用品,Leisure Equipment & Products,03020201,休闲设备与用品,Leisure Equipment & Products,,
000019,深粮控股,"SHENZHEN CEREALS HOLDINGS CO.,LTD.",Shenzhen,04,主要消费,Consumer Staples,0401,食品与主要用品零售,Food & Staples Retailing,040101,食品与主要用品零售,Food & Staples Retailing,04010101,食品经销商,Food Distributor,,
000020,深华发A,"Shenzhen Zhongheng Huafa Co.,Ltd.",Shenzhen,07,信息技术,Information Technology,0702,计算机及电子设备,Computer & Electronic Equipment,070202,电子设备,Electronic Equipment,07020201,电子设备及仪表制造商,Electronic Equipment & Instrument Manufacturer,,
000021,深科技,"Shenzhen Kaifa Technology Co., Ltd.",Shenzhen,07,信息技术,Information Technology,0702,计算机及电子设备,Computer & Electronic Equipment,070201,电脑与外围设备,Computers & Peripherals,07020101,电脑与外围设备,Computers & Peripherals,,
000023,深天地Ａ,Shenzhen Universe (Group) Co Ltd,Shenzhen,01,原材料,Materials,0101,原材料,Materials,010103,建筑材料,Construction Materials,01010301,水泥,Cement,,
000025,特力A,Shenzhen Tellus Holding Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0301,汽车与汽车零部件,Automobiles & Components,030102,汽车与摩托车,Automobiles & Motorcycles,03010203,汽车经销商与汽车服务,Auto Dealers & Auto Services,,
000026,飞亚达,"FIYTA Precision Technology Co., Ltd.",Shenzhen,03,可选消费,Consumer Discretionary,0305,零售业,Retailing,030504,其他零售,Other Retail,03050401,其他零售,Other Retail,,
000027,深圳能源,Shenzhen Energy Group Co Ltd,Shenzhen,09,公用事业,Utilities,0901,公用事业,Utilities,090101,电力,Power,09010101,火电,Thermal Power,,
000028,国药一致,China National Accord Medicines Corporation Ltd.,Shenzhen,05,医药卫生,Health Care,0502,医药生物,Medical Biology,050202,制药,Pharmaceuticals,05020203,药品经销商,Drug Distributors,,
000029,深深房Ａ,"Shenzhen Special Economic Zone Real Estate and Properties (Group) Co.,Ltd.",Shenzhen,06,金融地产,Financials,0605,房地产,Real Estate,060501,房地产开发与园区,Real Estate  Development and Zone,06050101,房地产开发,Real Estate  Development,,
000030,富奥股份,FAWER Automotive Parts Company,Shenzhen,03,可选消费,Consumer Discretionary,0301,汽车与汽车零部件,Automobiles & Components,030101,汽车零配件与轮胎,uto Parts & Tires,03010101,汽车零配件,Auto Parts ,,
000031,大悦城,"Grandjoy Holdings Group Co.,Ltd.",Shenzhen,06,金融地产,Financials,0605,房地产,Real Estate,060501,房地产开发与园区,Real Estate  Development and Zone,06050101,房地产开发,Real Estate  Development,,
000032,深桑达Ａ,Shenzhen SED Industry Co Ltd,Shenzhen,07,信息技术,Information Technology,0702,计算机及电子设备,Computer & Electronic Equipment,070202,电子设备,Electronic Equipment,07020203,电脑及电子设备经销商,Computer & Electronic Equipment Dealer,,
000034,神州数码,"Digital China Group Co., Ltd.",Shenzhen,07,信息技术,Information Technology,0702,计算机及电子设备,Computer & Electronic Equipment,070202,电子设备,Electronic Equipment,07020203,电脑及电子设备经销商,Computer & Electronic Equipment Dealer,,
000035,中国天楹,China Tianying Inc.,Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020107,环保设备、工程与服务,"Environmental Protection Equipment, Engineering and Service",02010703,环保服务,Environmental Protection Service,,
000036,华联控股,China Union Holdings Co Ltd,Shenzhen,06,金融地产,Financials,0605,房地产,Real Estate,060502,房地产管理与服务,Real Estate Management & Services,06050201,房地产管理与服务,Real Estate Management & Services,,
000037,深南电A,Shenzhen Nanshan Power Company Limited,Shenzhen,09,公用事业,Utilities,0901,公用事业,Utilities,090101,电力,Power,09010101,火电,Thermal Power,,
000038,深大通,Shenzhen Capstone Industrial Co Ltd,Shenzhen,03,可选消费,Consumer Discretionary,0304,传媒,Media,030401,传媒,Media,03040101,营销与广告,Marketing & Advertising,,
000039,中集集团,China International Marine Containers (Group) Co Ltd,Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020106,机械制造,Machinery,02010601,通用机械,General Machinery,,
000040,东旭蓝天,"TUNGHSU AZURE RENEWABLE ENERGY CO.,LTD.",Shenzhen,09,公用事业,Utilities,0901,公用事业,Utilities,090101,电力,Power,09010104,新能源发电,New Energy Power,,
000042,中洲控股,"SHENZHEN CENTRALCON INVESTMENT HOLDING CO., LTD",Shenzhen,06,金融地产,Financials,0605,房地产,Real Estate,060501,房地产开发与园区,Real Estate  Development and Zone,06050101,房地产开发,Real Estate  Development,,
000045,深纺织Ａ,Shenzhen Textile (Holdings) Co Ltd,Shenzhen,07,信息技术,Information Technology,0702,计算机及电子设备,Computer & Electronic Equipment,070202,电子设备,Electronic Equipment,07020202,光电子器件,Optoelectronic Devices,,
000046,泛海控股,"Oceanwide Hoodings Co., Ltd.",Shenzhen,06,金融地产,Financials,0605,房地产,Real Estate,060501,房地产开发与园区,Real Estate  Development and Zone,06050101,房地产开发,Real Estate  Development,,
000048,康达尔,Shenzhen Kondarl (Group) Co Ltd,Shenzhen,04,主要消费,Consumer Staples,0402,食品、饮料与烟草,"Food, Beverage & Tobacco",040204,农牧渔产品,"Agriculture,Animal Husbandry and Fishery Products",04020403,其他农产品,Other Agriculture Products,,
000049,德赛电池,Shenzhen Desay Battery Technology Co Ltd,Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020104,电气设备,Electrical Equipment,02010403,新能源设备,New Energy Equipment,,
000050,深天马Ａ,Tianma Microelectronics Co Ltd,Shenzhen,07,信息技术,Information Technology,0702,计算机及电子设备,Computer & Electronic Equipment,070202,电子设备,Electronic Equipment,07020202,光电子器件,Optoelectronic Devices,,
000055,方大集团,China Fangda Group Co Ltd,Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020102,建筑产品,Building Products,02010201,建筑产品,Building Products,,
000056,皇庭国际,"SHENZHEN WONGTEE INTERNATIONAL ENTERPRISE CO., LTD.",Shenzhen,06,金融地产,Financials,0605,房地产,Real Estate,060502,房地产管理与服务,Real Estate Management & Services,06050201,房地产管理与服务,Real Estate Management & Services,,
000058,深赛格,Shenzhen SEG Co Ltd,Shenzhen,02,工业,Industrials,0202,商业服务与用品,Commercial Services & Supplies,020201,商业服务与用品,Commercial Services & Supplies,02020102,市场服务,Market Services,,
000059,华锦股份,"North Huajin Chemical Industries Co., Ltd",Shenzhen,00,能源,Energy,0001,能源,Energy,000102,石油与天然气,Oil & Gas,00010203,石油与天然气的炼制和营销,Oil & Gas Refining & Marketing,,
